latitude (degrees),longitude(degrees),elevation (m),plate,temperature,precipitation
58.282523282095700,-180.00000500895600,-2930.13037109375,2,-13.818457031250000,1428.4322509765600
58.282523282095700,0,50.48677444458010,3,-72.05757751464840,1428.4322509765600
-58.282523282095700,-180.00000500895600,-2930.395751953130,0,-10.292150878906200,1428.4322509765600
-58.282523282095700,0,-2930.6171875,0,-10.507299804687500,1428.4322509765600
-31.717472392193300,-90.00000250447820,-2886.42236328125,1,25.500299072265600,367.45489501953100
31.717472392193300,-90.00000250447820,-2743.8203125,1,21.747094726562500,367.45489501953100
-31.717472392193300,90.00000250447820,-2930.145751953130,0,23.735559082031300,367.45489501953100
31.717472392193300,90.00000250447820,-2930.1142578125,0,23.165063476562500,367.45489501953100
0,31.717472392193300,1072.770751953130,0,32.07698974609380,3792.05078125
0,-31.717472392193300,-2930.4541015625,0,37.3353210449219,3792.05078125
0,148.28253261676300,-1126.888427734380,0,37.17009887695320,3792.05078125
0,-148.28253261676300,-2930.06298828125,2,37.44210205078130,3792.05078125
56.95206731857440,-178.2439770337240,-2930.3505859375,2,-11.463568115234400,1513.5059814453100
55.552243953842300,-176.55634657284100,-2930.3505859375,2,-9.009741210937480,1589.731689453130
54.08382499927590,-174.93592517339000,-2930.099853515630,2,-6.528753662109350,1652.6038818359400
52.54801256816890,-173.38123751451200,-2930.3505859375,2,-4.035925292968730,1697.246826171880
50.94646639648970,-171.89050774702200,-2930.3505859375,2,-1.5482238769531000,1718.691162109380
49.28134482401610,-170.4617687764390,-2930.3505859375,2,0.9211059570312730,1712.2552490234400
47.555359435848400,-169.09290324412000,-2930.115234375,2,3.3653503417969000,1674.022705078130
45.77176140203180,-167.7816845083960,-2930.10107421875,2,5.846948242187520,1601.3863525390600
43.93437562850120,-166.52583128608400,-2930.103759765630,2,8.300347900390650,1493.6124267578100
42.04760417217690,-165.32306229400100,-2930.3505859375,2,10.683770751953100,1352.3546142578100
40.11640233530160,-164.17106892820800,-2930.3505859375,2,12.990075683593800,1182.0364990234400
38.14623768430600,-163.06755624514500,-2930.1201171875,2,15.218164062500000,990.0161743164060
36.14303540829510,-162.0103249238970,-2930.137939453130,2,17.340325927734400,786.461181640625
34.113144168102300,-160.99718930393000,-2930.154052734380,2,19.354913330078100,583.8975219726560
32.06318241703350,-160.02603202660300,-2930.15966796875,2,21.327905273437500,396.4180908203130
30.000000834826100,-159.0948450162980,-2930.16796875,2,23.217706298828100,238.6328582763670
27.930532063487600,-158.2016475181570,-2930.186767578130,2,25.062585449218800,124.44283294677700
25.861693377100200,-157.34458172072600,-2930.219970703130,2,26.775384521484400,65.79886627197270
23.800262030867600,-156.52185811444100,-2930.2431640625,2,28.346826171875000,71.59504699707030
21.752776223372900,-155.7317828123890,-2930.2431640625,2,29.776788330078100,146.84307861328100
19.72541215317300,-154.97271656916900,-2930.2734375,2,31.065637207031300,292.2309875488280
17.72392596219100,-154.24312942240600,-2930.09765625,2,32.21758422851570,504.10894775390600
15.753559820614900,-153.54155971161900,-2930.09765625,2,33.23647460937500,774.8886108398440
13.819009483499000,-152.86662773859500,-2930.09765625,2,34.12774047851570,1093.776123046880
11.924368795477200,-152.21700844663600,-2930.07958984375,2,34.89702758789070,1447.7366943359400
10.073133959630800,-151.5914724016890,-2930.075927734380,2,35.55108032226570,1822.5499267578100
8.268199268620660,-150.98884481121900,-2930.07373046875,2,36.09722290039070,2203.845703125
6.51186863063113,-150.408005524201,-2930.062744140630,2,36.54207763671880,2578.015625
4.805890574089750,-149.8479163518820,-2930.06103515625,2,36.89205322265630,2932.933349609380
3.151490477622320,-149.30759374702000,-2930.060302734380,2,37.15389404296880,3258.452392578130
1.54941987548093,-148.78609514351100,-2930.060302734380,2,37.33480224609380,3546.679931640630
58.75153871202220,-177.01217973766900,-2930.13037109375,2,-14.644842529296900,1395.9188232421900
0.957522085309972,-146.9643744088420,-2930.068115234380,2,37.3963562011719,3644.698974609380
57.364361442538400,-175.26660195186700,-2930.3505859375,2,-12.149755859375000,1488.3564453125
55.90641999815880,-173.5961699073140,-2930.3505859375,2,-9.598577880859350,1571.8597412109400
54.37874915254250,-171.9988208868800,-2930.3505859375,2,-7.024359130859350,1641.4921875
52.78282764164480,-170.47216432435500,-2930.3505859375,2,-4.444281005859350,1691.904052734380
51.12062597504130,-169.01364572899100,-2930.11279296875,2,-1.8736022949218500,1717.652587890630
49.39463717177910,-167.62056034587500,-2930.115234375,2,0.6807495117187730,1713.64013671875
47.607927986795400,-166.2901624389620,-2930.115234375,2,3.2811828613281500,1675.6591796875
45.76412525053970,-165.01963797031300,-2930.10107421875,2,5.870294189453150,1601.0054931640600
43.86747051048630,-163.8062138831250,-2930.103759765630,2,8.393670654296900,1489.10302734375
41.922772219811100,-162.64713078097400,-2930.101318359380,2,10.833642578125000,1342.053466796880
39.93540232229630,-161.53971122970400,-2930.3505859375,2,13.180078125000000,1165.0206298828100
37.91125868629010,-160.48135975743300,-2930.1201171875,2,15.422631835937500,966.352783203125
35.856686557531500,-159.4695491941650,-2930.132568359380,2,17.564569091796900,757.3651733398440
33.77838293650170,-158.50186165293600,-2930.164794921880,2,19.692803955078100,551.7508544921880
31.68334193691070,-157.57601585056300,-2930.164794921880,2,21.773675537109400,364.6451721191410
29.57870110644130,-156.68978514537500,-2930.1728515625,2,23.753625488281300,211.40943908691400
27.471633851269300,-155.84107949948800,-2930.223876953130,2,25.593377685546900,106.28435516357400
25.36923503039500,-155.02793181841900,-2930.223876953130,2,27.286401367187500,61.073509216308600
